title	authors	url	session
Implicit User-Generated Content in the Service of Public Health.	Evgeniy Gabrilovich	https://doi.org/10.1145/3511808.3555800	Keynote Talks
Ensemble Learning Methods for Dirty Data.	Ling Liu	https://doi.org/10.1145/3511808.3558584	Keynote Talks
Exploring and Analyzing Change: The Janus Project.	Divesh Srivastava, Tobias Bleifuß, Leon Bornemann, Dmitri V. Kalashnikov, Felix Naumann	https://doi.org/10.1145/3511808.3555799	Keynote Talks
How Hybrid Work Will Make Work More Intelligent.	Jaime Teevan	https://doi.org/10.1145/3511808.3558585	Keynote Talks
AutoForecast: Automatic Time-Series Forecasting Model Selection.	Mustafa Abdallah, Ryan A. Rossi, Kanak Mahadik, Sungchul Kim, Handong Zhao, Saurabh Bagchi	https://doi.org/10.1145/3511808.3557241	CIKM'22 Full Papers
On Smoothed Explanations: Quality and Robustness.	Ahmad Ajalloeian, Seyed-Mohsen Moosavi-Dezfooli, Michalis Vlachos, Pascal Frossard	https://doi.org/10.1145/3511808.3557409	CIKM'22 Full Papers
Generative Adversarial Zero-Shot Learning for Cold-Start News Recommendation.	Manal A. Alshehri, Xiangliang Zhang	https://doi.org/10.1145/3511808.3557335	CIKM'22 Full Papers
UnCommonSense: Informative Negative Knowledge about Everyday Concepts.	Hiba Arnaout, Simon Razniewski, Gerhard Weikum, Jeff Z. Pan	https://doi.org/10.1145/3511808.3557484	CIKM'22 Full Papers
KRAF: A Flexible Advertising Framework using Knowledge Graph-Enriched Multi-Agent Reinforcement Learning.	Jose A. Ayala-Romero, Péter Mernyei, Bichen Shi, Diego Mazón	https://doi.org/10.1145/3511808.3557373	CIKM'22 Full Papers
An Accelerated Doubly Stochastic Gradient Method with Faster Explicit Model Identification.	Runxue Bao, Bin Gu, Heng Huang	https://doi.org/10.1145/3511808.3557234	CIKM'22 Full Papers
CASA-Net: A Context-Aware Correlation Convolutional Network for Scale-Adaptive Crack Detection.	Xin Bi, Shining Zhang, Yu Zhang, Lei Hu, Wei Zhang, Wenjing Niu, Ye Yuan, Guoren Wang	https://doi.org/10.1145/3511808.3557252	CIKM'22 Full Papers
Collaborative Image Understanding.	Koby Bibas, Oren Sar Shalom, Dietmar Jannach	https://doi.org/10.1145/3511808.3557260	CIKM'22 Full Papers
Samba: Identifying Inappropriate Videos for Young Children on YouTube.	Le Binh, Rajat Tandon, Chingis Oinar, Jeffrey Liu, Uma Durairaj, Jiani Guo, Spencer Zahabizadeh, Sanjana Ilango, Jeremy Tang, Fred Morstatter, Simon S. Woo, Jelena Mirkovic	https://doi.org/10.1145/3511808.3557442	CIKM'22 Full Papers
DocSemMap 2.0: Semantic Labeling based on Textual Data Documentations Using Seq2Seq Context Learner.	Andreas Burgdorf, Alexander Paulus, André Pomp, Tobias Meisen	https://doi.org/10.1145/3511808.3557446	CIKM'22 Full Papers
Memory Graph with Message Rehearsal for Multi-Turn Dialogue Generation.	Xiaoyu Cai, Yao Fu, Hong Zhao, Weihao Jiang, Shiliang Pu	https://doi.org/10.1145/3511808.3557392	CIKM'22 Full Papers
Hard Negatives or False Negatives: Correcting Pooling Bias in Training Neural Ranking Models.	Yinqiong Cai, Jiafeng Guo, Yixing Fan, Qingyao Ai, Ruqing Zhang, Xueqi Cheng	https://doi.org/10.1145/3511808.3557343	CIKM'22 Full Papers
Imitation Learning to Outperform Demonstrators by Directly Extrapolating Demonstrations.	Yuanying Cai, Chuheng Zhang, Wei Shen, Xiaonan He, Xuyun Zhang, Longbo Huang	https://doi.org/10.1145/3511808.3557357	CIKM'22 Full Papers
Contrastive Cross-Domain Sequential Recommendation.	Jiangxia Cao, Xin Cong, Jiawei Sheng, Tingwen Liu, Bin Wang	https://doi.org/10.1145/3511808.3557262	CIKM'22 Full Papers
User Recommendation in Social Metaverse with VR.	Bing-Jyue Chen, De-Nian Yang	https://doi.org/10.1145/3511808.3557487	CIKM'22 Full Papers
